Name,Applicants total,Enrolled total,Tuition and fees,Costs of living on campus,Ranking,Ranking display
Central Christian College of Kansas,662.0,131.0,14800.0,24500.0,1000+,1000+
Emporia State University,2452.0,696.0,5614.0,29031.0,1000+,1000+
Fort Hays State University,2511.0,1063.0,4358.0,24873.0,1000+,1000+
Friends University,737.0,184.0,23430.0,36005.0,1000+,1000+
University of Kansas,12389.0,3771.0,10107.0,37043.0,201-300,top 1000
Newman University,2348.0,165.0,23650.0,34408.0,1000+,1000+
Kansas State University,9839.0,3821.0,8585.0,34276.0,501-600,top 1000
Kansas Wesleyan University,689.0,151.0,23800.0,36400.0,1000+,1000+
McPherson College,642.0,170.0,22891.0,35477.0,1000+,1000+
MidAmerica Nazarene University,1012.0,198.0,22290.0,33687.0,1000+,1000+
Ottawa University-Ottawa,267.0,145.0,23964.0,36482.0,1000+,1000+
Pittsburg State University,3073.0,1144.0,5906.0,27176.0,1000+,1000+
University of Saint Mary,767.0,109.0,23170.0,34536.0,1000+,1000+
Southwestern College,436.0,128.0,23886.0,37632.0,1000+,1000+
Sterling College,883.0,169.0,21200.0,30652.0,1000+,1000+
Tabor College,517.0,159.0,22730.0,36750.0,1000+,1000+
Wichita State University,3492.0,1412.0,6926.0,25431.0,1000+,1000+
Alice Lloyd College,3656.0,189.0,10620.0,21800.0,1000+,1000+
Asbury University,1211.0,322.0,26076.0,35494.0,1000+,1000+
Bellarmine University,4160.0,676.0,34890.0,52574.0,1000+,1000+
Berea College,1620.0,397.0,23170.0,31870.0,1000+,1000+
Brescia University,3582.0,150.0,19640.0,30390.0,501-600,top 1000
Campbellsville University,2649.0,525.0,22196.0,33628.0,1000+,1000+
Centre College,2533.0,377.0,36020.0,48020.0,1000+,1000+
University of the Cumberlands,2527.0,488.0,20000.0,33500.0,1000+,1000+
Eastern Kentucky University,9932.0,2306.0,7536.0,28032.0,1000+,1000+
Georgetown College,1735.0,238.0,32310.0,44110.0,1000+,1000+
Kentucky State University,6399.0,506.0,6276.0,26302.0,1000+,1000+
